iter	Passed	Remaining
0	57	57319
1	57	28801
2	58	19275
3	58	14506
4	58	11645
5	58	9744
6	59	8384
7	59	7363
8	59	6567
9	59	5933
10	60	5413
11	60	4978
12	60	4609
13	60	4295
14	61	4024
15	61	3786
16	61	3578
17	62	3389
18	62	3222
19	62	3071
20	63	2943
21	63	2819
22	63	2705
23	63	2600
24	64	2504
25	64	2415
26	64	2333
27	65	2257
28	65	2186
29	65	2120
30	65	2060
31	66	2001
32	66	1947
33	66	1895
34	67	1847
35	67	1801
36	67	1758
37	67	1717
38	68	1677
39	68	1640
40	68	1604
41	68	1570
42	69	1542
43	69	1511
44	69	1481
45	70	1454
46	70	1427
47	70	1401
48	70	1376
49	71	1352
50	71	1329
51	71	1307
52	71	1285
53	72	1265
54	72	1246
55	72	1227
56	73	1208
57	73	1190
58	73	1174
59	73	1157
60	74	1141
61	74	1126
62	74	1111
63	75	1097
64	75	1082
65	75	1069
66	75	1056
67	76	1043
68	76	1031
69	76	1018
70	76	1005
71	77	993
72	77	982
73	77	971
74	77	960
75	78	949
76	78	938
77	78	928
78	78	918
79	79	909
80	79	900
81	79	890
82	79	879
83	79	871
84	80	863
85	80	855
86	80	847
87	81	840
88	81	833
89	81	825
90	81	818
91	82	811
92	82	804
93	82	797
94	82	789
95	83	783
96	83	777
97	83	771
98	84	765
99	84	758
100	84	752
101	84	746
102	84	739
103	85	733
104	85	729
105	85	723
106	86	718
107	86	712
108	86	707
109	86	701
110	87	697
111	87	691
112	87	686
113	87	681
114	87	676
115	88	671
116	88	666
117	88	661
118	88	657
119	89	653
120	89	648
121	89	644
122	89	639
123	90	635
124	90	632
125	90	628
126	90	623
127	91	620
128	91	616
129	91	612
130	91	608
131	92	605
132	92	601
133	92	597
134	92	594
135	92	590
136	93	587
137	93	584
138	93	581
139	94	577
140	94	574
141	94	570
142	94	567
143	94	564
144	95	561
145	95	558
146	95	555
147	96	552
148	96	549
149	96	546
150	96	544
151	97	541
152	97	538
153	97	536
154	97	533
155	98	531
156	98	529
157	98	526
158	99	523
159	99	521
160	99	518
161	99	515
162	100	513
163	100	512
164	100	510
165	101	507
166	101	505
167	101	503
168	101	501
169	102	498
170	102	496
171	102	494
172	102	492
173	103	490
174	103	487
175	103	485
176	104	483
177	104	481
178	104	479
179	104	477
180	105	475
181	105	473
182	105	471
183	105	469
184	107	471
185	107	469
186	107	467
187	107	465
188	108	464
189	108	462
190	108	460
191	108	458
192	109	456
193	109	454
194	109	453
195	110	451
196	110	449
197	110	447
198	110	446
199	111	444
200	111	442
201	111	440
202	111	439
203	112	437
204	112	435
205	112	434
206	112	432
207	113	432
208	113	430
209	114	429
210	114	428
211	114	426
212	115	427
213	115	426
214	116	424
215	116	422
216	116	421
217	116	419
218	117	417
219	117	416
220	117	414
221	117	413
222	118	411
223	118	410
224	118	408
225	118	407
226	119	405
227	119	404
228	119	402
229	119	401
230	120	400
231	120	398
232	120	397
233	120	395
234	121	394
235	121	392
236	121	391
237	121	390
238	122	389
239	122	388
240	122	387
241	123	386
242	123	384
243	123	383
244	124	382
245	124	380
246	124	379
247	124	378
248	125	377
249	125	376
250	125	374
251	125	373
252	126	372
253	126	371
254	126	369
255	126	368
256	127	367
257	127	366
258	127	365
259	127	364
260	128	363
261	128	361
262	128	360
263	128	359
264	129	358
265	129	357
266	129	356
267	130	355
268	130	354
269	130	353
270	130	352
271	131	350
272	131	349
273	131	348
274	131	347
275	132	346
276	132	345
277	132	344
278	132	343
279	133	342
280	133	341
281	133	340
282	133	339
283	134	338
284	134	337
285	134	336
286	135	335
287	135	334
288	135	333
289	136	333
290	136	331
291	136	330
292	136	329
293	136	328
294	137	327
295	137	326
296	137	325
297	137	324
298	138	323
299	138	322
300	138	321
301	138	320
302	139	319
303	139	318
304	139	317
305	139	316
306	139	315
307	140	314
308	140	314
309	140	313
310	140	312
311	141	311
312	141	310
313	141	309
314	142	309
